Language,Attack Name,Is Applicable,Defense Applied,Attack Success Rate,Defense Mitigation
Hindi,CA_CHAR_01_CharacterSwapping,Yes,None (Baseline),0.00%,N/A
Hindi,CA_CHAR_01_CharacterSwapping,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_CHAR_01_CharacterSwapping,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_CHAR_01_CharacterSwapping,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_CHAR_01_CharacterSwapping,Yes,None (Baseline),0.00%,N/A
Nepali,CA_CHAR_01_CharacterSwapping,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_CHAR_01_CharacterSwapping,Yes,None (Baseline),0.00%,N/A
Telugu,CA_CHAR_01_CharacterSwapping,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_CHAR_01_CharacterSwapping,Yes,None (Baseline),0.00%,N/A
Urdu,CA_CHAR_01_CharacterSwapping,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_CHAR_02_CharacterRepetition,Yes,None (Baseline),0.00%,N/A
Hindi,CA_CHAR_02_CharacterRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_CHAR_02_CharacterRepetition,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_CHAR_02_CharacterRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_CHAR_02_CharacterRepetition,Yes,None (Baseline),0.00%,N/A
Nepali,CA_CHAR_02_CharacterRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_CHAR_02_CharacterRepetition,Yes,None (Baseline),0.00%,N/A
Telugu,CA_CHAR_02_CharacterRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_CHAR_02_CharacterRepetition,Yes,None (Baseline),0.00%,N/A
Urdu,CA_CHAR_02_CharacterRepetition,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_CHAR_03_CharacterInsertion,Yes,None (Baseline),0.00%,N/A
Hindi,CA_CHAR_03_CharacterInsertion,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_CHAR_03_CharacterInsertion,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_CHAR_03_CharacterInsertion,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_CHAR_03_CharacterInsertion,Yes,None (Baseline),0.00%,N/A
Nepali,CA_CHAR_03_CharacterInsertion,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_CHAR_03_CharacterInsertion,Yes,None (Baseline),0.00%,N/A
Telugu,CA_CHAR_03_CharacterInsertion,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_CHAR_03_CharacterInsertion,Yes,None (Baseline),0.00%,N/A
Urdu,CA_CHAR_03_CharacterInsertion,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_CHAR_04_CharacterDeletion,Yes,None (Baseline),0.00%,N/A
Hindi,CA_CHAR_04_CharacterDeletion,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,CA_CHAR_04_CharacterDeletion,Yes,None (Baseline),0.00%,N/A
Malayalam,CA_CHAR_04_CharacterDeletion,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,CA_CHAR_04_CharacterDeletion,Yes,None (Baseline),0.00%,N/A
Nepali,CA_CHAR_04_CharacterDeletion,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,CA_CHAR_04_CharacterDeletion,Yes,None (Baseline),0.00%,N/A
Telugu,CA_CHAR_04_CharacterDeletion,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,CA_CHAR_04_CharacterDeletion,Yes,None (Baseline),0.00%,N/A
Urdu,CA_CHAR_04_CharacterDeletion,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,CA_CHAR_05_HomoglyphPerturbation,Yes,None (Baseline),0.00%,N/A
